13,ACB3FAP2,No Guard Post,c4:64:13:00:52:61,c4:0a:cb:2d:75:50,AIR-LAP1142N-N-K9,
14,ACB3FAP3,No Guard Post,c4:64:13:11:3f:1b,c4:0a:cb:25:bf:70,AIR-LAP1142N-N-K9,
15,ACB3FAP4,No Guard Post,c4:64:13:11:3e:43,c4:0a:cb:25:a8:30,AIR-LAP1142N-N-K9,
16,ACB4FAP1,No Guard Post,28:94:0f:c9:2a:fe,c4:0a:cb:25:e4:80,AIR-LAP1142N-N-K9,
17,ACB4FAP2,No Guard Post,c4:64:13:00:52:76,c4:0a:cb:25:c4:40,AIR-LAP1142N-N-K9,
19,ACB4FAP4,No Guard Post,28:94:0f:d6:d8:12,c4:0a:cb:2d:bb:e0,AIR-LAP1142N-N-K9,
20,ACB5FAP1,No Guard Post,c4:64:13:11:44:5a,c4:0a:cb:5c:20:90,AIR-LAP1142N-N-K9,
21,ACB5FAP2,No Guard Post,c4:64:13:11:39:f4,c4:0a:cb:2c:f4:60,AIR-LAP1142N-N-K9,
23,ACB5FAP4,No Guard Post,c4:64:13:00:53:91,c4:0a:cb:2d:51:40,AIR-LAP1142N-N-K9,
1,LCB0FAP1,No Guard Post,c4:64:13:5b:7e:68,c4:0a:cb:5c:14:c0,AIR-LAP1142N-N-K9,
2,LCB0FAP2,No Guard Post,28:94:0f:c9:28:fd,c4:0a:cb:25:bb:70,AIR-LAP1142N-N-K9,
3,LCB0FAP3,No Guard Post,28:94:0f:c9:29:b2,c4:0a:cb:25:b5:a0,AIR-LAP1142N-N-K9,
4,LCB0FAP4,No Guard Post,74:a2:e6:3b:aa:78,74:a2:e6:3f:69:70,AIR-LAP1142N-N-K9,
5,LCB1FAP1,No Guard Post,28:94:0f:d6:d7:bd,c4:0a:cb:25:f2:d0,AIR-LAP1142N-N-K9,
6,LCB1FAP2,No Guard Post,c4:64:13:11:3d:60,c4:0a:cb:2d:48:20,AIR-LAP1142N-N-K9,
7,LCB1FAP3,No Guard Post,28:94:0f:d6:d8:86,c4:0a:cb:2d:c6:30,AIR-LAP1142N-N-K9,
8,LCB1FAP4,No Guard Post,78:ba:f9:9d:bf:00,78:ba:f9:af:cf:90,AIR-CAP3702E-D-K9,
9,LCB2FAP1,No Guard Post,28:94:0f:d6:d8:63,c4:0a:cb:5c:0f:10,AIR-LAP1142N-N-K9,
10,LCB2FAP2,No Guard Post,c4:64:13:11:41:d7,c4:0a:cb:2c:e6:20,AIR-LAP1142N-N-K9,
11,LCB2FAP3,No Guard Post,c4:64:13:11:40:62,c4:0a:cb:2d:7d:50,AIR-LAP1142N-N-K9,
12,LCB2FAP4,No Guard Post,78:ba:f9:9d:bd:e8,78:ba:f9:af:cb:10,AIR-CAP3702E-D-K9,
13,LCB2FAP5,No Guard Post,c4:64:13:11:40:88,c4:0a:cb:25:cf:50,AIR-LAP1142N-N-K9,
1,LB0FAP1,Library,28:94:0f:c9:29:b8,c4:0a:cb:25:b5:50,AIR-LAP1142N-N-K9,
2,LB0FAP2,Library,28:94:0f:d6:d7:9a,c4:0a:cb:2d:95:a0,AIR-LAP1142N-N-K9,
3,LB0FAP3,Library,28:94:0f:d6:d7:e9,c4:0a:cb:2d:af:00,AIR-LAP1142N-N-K9,
4,LB1FAP1,Library,c4:64:13:11:40:90,c4:0a:cb:25:ce:60,AIR-LAP1142N-N-K9,
5,LB1FAP2,Library,c4:64:13:00:55:ba,c4:0a:cb:5c:11:f0,AIR-LAP1142N-N-K9,
6,LB1FAP3,Library,c4:64:13:00:54:c2,c4:0a:cb:25:f6:a0,AIR-LAP1142N-N-K9,
7,LB2FAP1,Library,28:94:0f:c9:2a:d5,c4:0a:cb:2d:a4:10,AIR-LAP1142N-N-K9,
8,LB2FAP2,Library,c4:64:13:11:3f:f8,c4:0a:cb:25:b7:60,AIR-LAP1142N-N-K9,
9,LB2FAP3,Library,c4:64:13:00:53:ea,c4:0a:cb:25:f3:50,AIR-LAP1142N-N-K9,
10,LB2FAP4,Library,18:e7:28:35:fb:be,b0:00:b4:20:6b:f0,AIR-CAP1602I-N-K9,
11,LB2FAP5,Library,e4:aa:5d:b5:78:74,e4:aa:5d:c3:69:10,AIR-CAP3702E-D-K9,
12,LB2FAP6,Library,e4:aa:5d:b2:ee:60,e4:aa:5d:e2:89:c0,AIR-CAP3702E-D-K9,
13,LB3FAP1,Library,c4:64:13:11:3b:dd,c4:0a:cb:25:b1:a0,AIR-LAP1142N-N-K9,
14,LB3FAP2,Library,c4:64:13:00:50:75,c4:0a:cb:2d:61:30,AIR-LAP1142N-N-K9,
15,LB3FAP3,Library,28:94:0f:d6:d7:b6,c4:0a:cb:25:e6:30,AIR-LAP1142N-N-K9,
1,OUTDOOR_LH,No Guard Post,b0:aa:77:10:ed:a0,84:b8:02:f3:ef:a0,AIR-AP1572EAC-D-K9,,NET IP Technology 
2,OUTDOOR_HS,No Guard Post,b0:aa:77:b9:74:b0,b0:aa:77:95:8f:80,AIR-AP1572EAC-D-K9,,NET IP Technology 
SRB0FAP1,No Guard Post,4c:00:82:06:4f:ee,ec:e1:a9:86:eb:10,AIR-LAP1142N-N-K9,
SRB2FAP1,No Guard Post,c4:64:13:11:3f:c0,c4:0a:cb:25:c6:c0,AIR-LAP1142N-N-K9,
4,NACB0FAP4,New acad(Ground),2c:33:11:80:81:3e,70:db:98:07:b6:a0,AIR-AP2802I-D-K9,FGL2109A45G
